r,density
0.037056737588652466, 0.4583517286095721
0.09998925424457339, 0.4580693793324518
0.29619062970126797, 0.4560615622507076
0.3591231463571889, 0.4550210528776162
0.5405168708360198, 0.4506341817016177
0.6071513002364067, 0.44914624582853935
0.7848431119707716, 0.44260291337464075
0.8477756286266925, 0.44035457653831256
1.0217655276165916, 0.43231285083070153
1.0846980442725123, 0.42982922293010645
1.2438802922845476, 0.4203914369078451
1.3068128089404687, 0.41746337033030145
1.458591231463572, 0.4072151373088986
1.5215237481194932, 0.40406223704772204
1.6658983451536646, 0.39306630131098214
1.7288308618095853, 0.38962582308236837
1.8806092843326887, 0.37781944034648685
1.936137975499678, 0.37429791741795887
2.0731087470449174, 0.3624157186724803
2.1323393509563724, 0.35875145249829704
2.265608209757146, 0.34660415915374443
2.324838813668601, 0.3428771486957567
2.458107672469375, 0.3304161339321815
2.51733827638083, 0.3268648074688464
2.6432033096926717, 0.31435359727822765
2.7024339136041267, 0.31030031654445644
2.8357027724049004, 0.29750675707671737
2.8949333763163554, 0.2938738630444364
3.0133945841392653, 0.2844873181872821
3.0726251880507203, 0.2768459607668046
3.205894046851494, 0.2640013095251104
3.265124650762949, 0.26053782505910167
3.3983935095637223, 0.24869170427681064
3.4539222007307115, 0.24462901190046876
3.5879314420803787, 0.23375856473133788
3.6977195971876826, 0.21645458760496628
3.7796905222437145, 0.20929143126177024
3.857430689877499, 0.20279426067381345
3.9388727702557498, 0.19633159944194922
4.020314850634, 0.19015128748720522
4.10175693101225, 0.18384548696485226
4.183199011390501, 0.1777279192939128
4.264641091768752, 0.17167309590677782
4.346083172147003, 0.1657751332291541
4.427525252525253, 0.15975168198392142
4.508967332903503, 0.15391646359010225
4.590409413281754, 0.1481753616219898
4.671851493660005, 0.14237151537007287
4.753293574038255, 0.13669315768576495
4.834735654416506, 0.13104617214335923
4.916177734794757, 0.12565016373617166
4.997619815173008, 0.12028552747088628
5.079061895551257, 0.11536010119223244
5.160503975929508, 0.10930527780509741
5.241946056307759, 0.10500729436448875
5.32338813668601, 0.10020212796312689
5.40483021706426, 0.09402704469869988
5.486272297442511, 0.09114080764369259
5.567714377820761, 0.08538924829494615
5.649156458199012, 0.0805056515388286
5.730598538577262, 0.07790176376094149
5.812040618955513, 0.07184694037380657
5.893482699333764, 0.06823914405504733
5.9712228669675484, 0.06569800056096486
6.056366860090265, 0.05958043289002535
6.137808940468515, 0.05750987152447662
6.216289490651193, 0.05496559081620389
6.300693101225017, 0.04913350963657487
6.382135181603267, 0.047659018967168953
6.461356114334839, 0.04488885883719995
6.545019342359769, 0.0399728442011168
6.6141217135898, 0.03849312484139389
6.70379026673353, 0.036403391611349256
6.78934558349452, 0.032004320157944355
6.870787663872771, 0.03106315590087677
6.943900440575973, 0.029333766578514997
